@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute poverty numeric
@attribute population numeric
@attribute per_capita_income numeric
@attribute num_of_death numeric
@attribute num_of_birth numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
254,MS,23.47,8412,31177,94,165,cluster3
255,WI,15.5,113679,47271,925,2844,cluster1
256,VA,13.1,14552,44479,180,358,cluster1
257,NC,18.7,9730,59522,176,418,cluster2
258,KY,14.7,65880,41585,787,1059,cluster1
259,OH,11.2,34938,50904,236,593,cluster6
260,OH,14,14702,41151,349,387,cluster4
261,MO,24.1,10338,35256,101,246,cluster3
262,MT,15.1,34403,39835,674,1049,cluster4
263,GA,25.7,16349,27655,227,351,cluster3
264,WI,17.59,16596,40002,228,877,cluster7
265,TX,19,10728,55700,186,206,cluster2
266,NC,25.63,20861,33218,281,557,cluster3
267,GA,11.35,31377,63092,187,636,cluster8
268,IA,8.83,15779,56258,289,622,cluster6
269,OR,17.6,7771,38668,185,219,cluster7
270,OK,19.7,7796,30364,94,138,cluster7
271,WV,14.61,192315,40409,2397,8975,cluster1
272,IL,17.4,38894,40890,578,783,cluster7
273,ID,17,15291,39809,99,247,cluster7
274,OR,15.4,25234,41144,234,1024,cluster1
275,IA,10,10602,48933,234,437,cluster6
276,KY,16.8,17416,65038,282,666,cluster8
277,GA,25.06,44417,34304,1001,2495,cluster3
278,WI,13.87,20733,40339,318,983,cluster4
279,MN,31.1,51629,49753,929,2810,cluster2
280,NY,12.5,91291,50213,1737,2440,cluster6
281,KS,14.4,1906,43338,35,60,cluster1
282,NJ,5.7,157745,49964,1420,2514,cluster6
283,OR,14.5,160338,47924,1595,5790,cluster1
284,TN,19,16361,33560,234,769,cluster7
285,AR,14.8,11585,30191,170,193,cluster4
286,TN,20.18,34980,34457,872,1334,cluster7
287,NC,15.8,5211,35206,129,136,cluster7
288,NC,19,36891,36741,352,610,cluster7
289,MI,18.3,32236,38274,404,1605,cluster7
290,CA,11.1,1041274,73678,20978,43896,cluster5
291,KS,13.3,2538,50601,29,125,cluster6
292,IA,15.2,9251,46947,130,368,cluster1
293,NM,19.8,52706,43240,1067,2572,cluster7
294,WY,9.57,8642,53577,106,289,cluster6
295,IA,12.1,15346,51137,219,286,cluster6
296,MN,11,62723,55905,1301,3032,cluster6
297,LA,21.2,20970,42347,484,765,cluster7
298,NM,16.5,31507,32940,350,1125,cluster7
299,IA,13.13,6305,43155,70,343,cluster4
300,OK,22.44,41633,35936,788,857,cluster3
301,IA,17,41058,42191,480,732,cluster1
302,IA,9.1,12594,42430,199,201,cluster4
303,LA,14.7,11385,25565,144,207,cluster7
304,VA,18.3,94482,37486,787,3515,cluster7
