@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute obesity_rate numeric
@attribute diabetes_rate numeric
@attribute excercise_rate numeric
@attribute no_of_hospitals numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
278,WI,39,10,5,3,cluster1
279,MN,36,8,12,3,cluster8
280,NY,35,10,8,3,cluster3
281,KS,38,11,0,3,cluster1
282,NJ,33,11,9,3,cluster2
283,OR,23,7,21,6,cluster9
284,TN,40,14,6,3,cluster0
285,AR,36,12,0,3,cluster2
286,TN,38,11,0,3,cluster1
287,NC,38,13,19,0,cluster0
288,NC,35,12,5,3,cluster2
289,MI,36,10,9,9,cluster3
290,CA,28,7,13,24,cluster9
291,KS,37,11,0,3,cluster1
292,IA,34,9,21,3,cluster3
293,NM,34,11,10,6,cluster2
294,WY,28,9,35,3,cluster4
295,IA,35,10,6,3,cluster3
296,MN,31,8,10,3,cluster8
297,LA,42,13,5,3,cluster6
298,NM,20,7,19,3,cluster9
299,IA,37,9,0,0,cluster3
300,OK,36,14,5,3,cluster0
301,IA,36,10,12,3,cluster3
302,IA,37,11,16,3,cluster2
303,LA,42,13,0,0,cluster6
304,VA,36,12,15,3,cluster2
305,TX,36,10,6,12,cluster3
306,OK,37,8,0,3,cluster8
307,TN,39,10,3,3,cluster1
308,KS,38,10,0,3,cluster1
309,VA,34,9,13,0,cluster3
310,PA,42,12,0,0,cluster6
311,FL,25,9,13,0,cluster5
312,TX,38,10,5,3,cluster1
313,MN,31,8,21,3,cluster5
314,UT,30,9,10,3,cluster5
315,MS,41,15,7,6,cluster7
316,UT,32,10,0,0,cluster3
317,LA,40,12,0,6,cluster6
318,TX,34,11,0,0,cluster2
319,KY,34,13,7,3,cluster0
320,TX,31,9,10,3,cluster5
321,TN,37,11,10,3,cluster1
322,UT,27,8,10,3,cluster5
323,MD,33,11,12,3,cluster2
324,CA,22,7,10,72,cluster9
325,AZ,26,8,10,24,cluster5
326,MD,20,7,14,15,cluster9
327,PA,37,10,13,3,cluster3
328,PA,39,11,9,0,cluster1
329,GA,39,7,7,0,cluster8
330,VA,34,10,16,6,cluster3
331,MI,34,11,0,3,cluster2
332,CO,30,6,0,6,cluster8
333,NM,25,7,19,3,cluster9
334,TX,37,10,3,3,cluster3
335,LA,40,13,14,0,cluster0
336,WI,35,7,14,3,cluster8
337,LA,39,12,9,6,cluster6
338,IL,28,7,17,18,cluster9
339,KY,40,11,5,3,cluster1
340,KY,41,14,0,3,cluster0
341,VA,35,11,9,0,cluster2
342,CA,18,6,24,9,cluster9
343,LA,36,9,14,3,cluster3
344,MO,40,10,8,0,cluster1
345,GA,36,14,0,3,cluster0
346,ND,34,10,12,6,cluster3
347,LA,39,12,5,9,cluster6
348,NC,35,11,5,0,cluster2
349,LA,45,13,0,3,cluster6
350,IN,35,11,8,3,cluster2
351,ID,33,9,5,3,cluster3
352,ID,33,8,0,0,cluster8
353,MS,38,12,12,3,cluster6
354,IA,33,9,4,6,cluster3
355,IA,34,11,13,3,cluster2
356,WI,42,9,8,9,cluster1
357,KS,33,9,3,3,cluster3
358,IA,33,9,9,3,cluster3
359,VA,39,8,0,0,cluster8
360,MT,28,8,10,6,cluster5
361,MO,36,11,0,3,cluster2
362,MO,37,11,0,0,cluster1
363,VA,33,11,0,0,cluster2
364,MO,41,13,3,3,cluster6
365,MT,30,8,12,3,cluster5
366,WI,30,7,15,12,cluster8
367,ID,37,9,0,3,cluster3
368,MT,33,8,0,3,cluster8
369,ND,35,9,43,3,cluster4
370,KY,42,13,18,3,cluster6
371,LA,37,9,12,3,cluster3
372,NM,32,7,0,3,cluster8
373,OK,39,14,0,3,cluster0
374,ND,34,10,0,0,cluster3
375,NC,29,10,6,6,cluster5
376,VT,25,7,11,6,cluster9
377,CA,26,7,11,21,cluster9
378,IL,31,7,14,6,cluster8
379,VA,35,12,7,3,cluster2
380,OK,42,12,4,6,cluster6
381,KS,36,10,0,0,cluster3
382,TX,38,12,0,3,cluster6
383,IN,36,10,4,3,cluster3
384,TX,35,8,8,27,cluster8
385,NH,27,8,20,9,cluster5
386,MT,34,9,0,3,cluster3
387,NE,34,10,0,3,cluster3
388,MO,37,12,6,0,cluster2
389,FL,29,13,6,0,cluster2
390,KY,38,13,0,0,cluster0
391,MD,39,13,12,0,cluster0
392,WA,35,8,9,0,cluster8
393,MN,34,10,0,3,cluster3
394,OK,35,11,12,3,cluster2
395,VA,36,11,13,0,cluster2
396,GA,38,13,0,0,cluster0
397,ND,37,10,0,0,cluster3
398,NY,33,10,10,6,cluster3
399,OK,41,12,0,3,cluster6
400,NC,34,12,6,3,cluster2
401,PA,38,11,9,6,cluster1
402,SC,47,14,7,0,cluster7
403,GA,36,12,7,3,cluster2
