@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute African_American numeric
@attribute American_Alaskan_Native numeric
@attribute asian numeric
@attribute hispanic numeric
@attribute pacific_highlander numeric
@attribute 18_younger numeric
@attribute senior_citizen numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14}

@data
689,PA,2.8,0.16,1.01,1.22,0.01,18.41,15.66,cluster7
690,KY,10.53,0.27,1.55,2.76,0.02,21.28,14.92,cluster4
691,TX,6.04,0.6,0.14,46.97,0.11,19.64,11.29,cluster2
692,FL,9,1.5,0.7,43.4,0.1,27.7,13.3,cluster2
693,IL,14.15,0.51,3.53,4.11,0.08,17.79,12.11,cluster4
694,ND,0.44,3.84,0.24,1.56,0.1,23.34,14.8,cluster1
695,OK,4.8,24.6,0.3,10,0.1,25.5,14,cluster11
696,NJ,1.75,0.22,1.88,6.68,0.03,23.16,12.53,cluster1
697,MD,62.86,0.43,2.45,4.33,0.08,21.56,11.75,cluster0
698,VA,6.71,0.25,1.63,2.22,0.05,21.98,14.18,cluster1
699,ID,0.32,9.16,0.33,2.84,0.07,22.73,19.83,cluster3
700,IA,1.85,0.41,0.76,2.53,0.21,22.09,18.31,cluster7
701,PA,8.62,0.21,6.72,4.39,0.05,22.31,15.74,cluster4
702,NY,0.74,0.2,0.78,1.44,0.05,22.5,16.82,cluster7
703,SC,20.28,0.44,0.62,3.8,0.1,24.29,14.5,cluster12
704,AZ,0.98,2.74,1.16,15.16,0.23,19.79,24.89,cluster14
705,WA,1.15,5.08,1.51,8.9,0.28,21.34,16.89,cluster7
706,TN,4.2,0.4,0.9,12.5,0.1,23.7,15.5,cluster1
707,TN,3.79,0.47,0.15,2.2,0.02,21.01,16.8,cluster7
708,KY,1.36,0.25,0.15,1.4,0.1,24.78,15.47,cluster1
709,MN,0.4,1.8,0.4,0.8,0,19.3,22,cluster3
710,NY,0.9,0.2,0.4,1.6,0,23.5,16.6,cluster7
711,MO,1,2.1,0.9,3.9,0.5,25.6,14.4,cluster1
712,IA,0.9,0.2,0.5,3.8,0.1,23.7,20.6,cluster3
713,VA,5.08,1.03,0.46,1.82,0.25,20.38,16.61,cluster7
714,MI,1.81,0.47,1.47,4.03,0.04,23.81,14.33,cluster1
715,VA,20.1,0.6,5.7,6.1,0.2,24.6,10.6,cluster12
716,NY,0.83,0.27,0.48,1.21,0.08,16.29,24.12,cluster14
717,UT,1.7,1,1.4,16.2,0.2,29.4,10.4,cluster10
718,MS,38.16,0.41,2.22,2.96,0.1,26.55,10.71,cluster5
719,TN,0.66,0.65,0.28,4.63,0.01,24.95,14.31,cluster1
720,KS,1.1,1.2,0.3,3.7,0.1,25.6,15,cluster1
721,NE,0.55,0,0,0.36,0,27.31,19.06,cluster1
722,IL,1,0.3,0.2,1.3,0,22.7,16.1,cluster7
723,MN,0.4,0.3,0.5,5.2,0.1,22.4,21.7,cluster3
724,ME,0.49,0.45,0.88,1.16,0.01,17.88,18.86,cluster3
725,NY,6.3,0.3,1.1,2.3,0,22,15.6,cluster7
726,TX,17.2,0.5,0.5,5.2,0,24.7,16.4,cluster12
727,MS,35.22,0.13,0.3,1.99,0.05,25.9,15.52,cluster5
728,NE,0.37,0.83,0.05,2.51,0,23.63,19.52,cluster7
729,MO,0.79,2.42,1.43,4.57,0.91,24.82,16.8,cluster1
730,GA,61.08,0.35,0.47,4.04,0.29,19.73,11.93,cluster0
731,MN,0.37,2.44,0.18,1.13,0.03,17.57,27.73,cluster14
732,GA,11,0.3,0.1,1.7,0.1,25.5,12.7,cluster1
733,MD,27.8,0.2,1,2.5,0,21.2,18.5,cluster5
734,MN,2.09,0.83,0.71,5.42,0.03,23.36,15.3,cluster1
735,KS,3,0.7,0.7,6.8,0,23.3,16.9,cluster7
736,CO,9.39,3.11,1.11,29.2,0,13.48,12.3,cluster13
737,MO,9.23,0.46,3.87,3.16,0.07,20.7,9.36,cluster4
738,UT,0.3,1.61,1.09,10.98,0.33,33.27,12.81,cluster10
739,IA,0.46,0.26,0.62,2.79,0.01,22.48,19,cluster7
740,ND,0.5,1.3,0.3,1.7,0,21.7,16.2,cluster7
741,MA,6.87,0.1,1.33,9.88,0.02,21.09,13.19,cluster4
742,PA,5.7,0.16,0.68,1.12,0.02,21.27,18.61,cluster7
743,ND,0.3,1.7,0.1,0.6,0.1,17.5,26.5,cluster14
744,KY,20.79,0.28,2.32,4.5,0.08,22.95,13.84,cluster12
745,LA,39.3,0.2,0.3,2.1,0,25.8,15.4,cluster5
746,AZ,1.88,14.67,0.59,30.83,0.2,28.05,11.55,cluster2
747,VA,18.07,0.3,1.17,2.12,0.04,19.68,17.8,cluster12
748,IN,0.9,0.3,0.2,1.4,0,19.3,16.1,cluster7
749,OK,3.47,18.14,0.39,2.26,0.04,20.63,22.49,cluster3
750,SD,1.59,2.75,0.58,2.93,0.04,21.37,16.54,cluster7
751,MN,1.44,5.86,0.49,1.42,0.02,23.05,15.55,cluster1
752,NV,2.1,2.5,2.5,21.2,0.2,23.6,16.6,cluster13
753,KY,7.19,0.48,0.69,8.98,0.21,24.85,13.11,cluster1
754,VA,62.93,0.45,0.93,4.97,0.07,24.65,16.72,cluster0
755,MI,0.5,0.9,0.2,1.3,0,22.3,16.4,cluster7
756,IL,12.97,0.34,0.71,4.38,0.03,24.19,16.69,cluster12
757,CA,2.68,0.93,25.75,25.63,1.58,22.06,13.62,cluster8
758,ND,0.17,2.65,0.29,2.31,0.08,20.29,24.41,cluster3
759,VA,6.8,0.2,0.8,1.3,0,22.4,13.6,cluster1
760,KY,2.7,0.1,0.1,1.6,0,24.6,14.4,cluster1
761,GA,32.64,0.21,0.23,1.98,0,24.79,14.26,cluster5
762,TX,8.2,0.7,10.2,14.5,0.1,28,8,cluster10
763,NC,43.09,0.45,0.34,3.29,0.12,21.67,18.04,cluster5
764,TX,7.2,0.7,0.3,19.5,0.1,25.7,11.8,cluster10
765,IL,18.57,1.22,0.31,5.88,0.03,15.32,12.7,cluster4
766,IL,2.9,0.1,0.5,1.5,0.1,19.3,19.2,cluster3
767,MI,0.1,0.8,0.1,1.3,0,18.8,24.5,cluster14
768,NE,0.33,0.24,0.45,2.89,0,23.57,20.85,cluster3
769,AL,29.8,0.34,1.3,3.16,0.07,21.24,11.15,cluster5
770,TN,20.1,0.4,1.7,3.4,0.1,21.9,14.8,cluster12
771,IN,0.39,0.23,0.26,1.19,0.03,23.31,15.77,cluster7
772,PA,6.95,0.52,1.21,5.37,0.06,17.98,15.39,cluster4
773,TX,14.8,0.4,0.9,18.8,0,27,14.1,cluster10
774,NJ,7,0.29,5.18,9.88,0.05,22.92,14.72,cluster4
775,KS,0.51,0.41,0.72,2.44,0,23.52,20.69,cluster3
776,MT,0.1,0.42,0.13,1.47,0.03,16.79,24.54,cluster14
777,LA,11.81,0.55,1.35,4.88,0.05,25.29,13.07,cluster12
778,TX,1.06,0.54,0.18,47.75,0,28.98,14.31,cluster2
779,WA,1.5,4,1.4,7.2,0.5,21.1,17.3,cluster7
780,TX,0.8,0.2,0,34.1,0.2,26.5,12.4,cluster2
781,OH,0.51,0.27,0.21,0.85,0.01,22.18,17.96,cluster7
782,NY,1.52,0.31,0.81,3.27,0.04,19.08,20.94,cluster3
783,CA,4.79,3.02,10.28,50.86,0.25,29.52,10.28,cluster2
784,MO,5.37,0.56,0.93,5.4,0.24,23.47,13.99,cluster1
785,ND,0.48,4.38,0.07,1.07,0,21.05,23.11,cluster3
786,GA,35.47,0.2,0.52,3.78,0.03,19.08,15.25,cluster5
787,AR,19.12,1.78,0.32,3.09,0.04,23.56,17.66,cluster12
788,ND,0.05,0.51,0.25,0.76,0,20.63,27.34,cluster14
789,IL,0.51,0.2,0.28,1.01,0.01,24.81,17.38,cluster1
790,NC,37.39,1.02,4.67,13.49,0.11,22.68,9.97,cluster5
791,NE,0.39,0.23,0.36,2.5,0,23.95,19.84,cluster7
792,TN,0.5,0.3,0.3,1.7,0,18.9,26.1,cluster14
793,FL,5.57,0.44,1.22,21.12,0.11,14.91,18.99,cluster13
794,KY,7.85,0.27,0.44,1.92,0.04,23.51,14.81,cluster1
795,MI,9.15,0.34,3.13,2.36,0.03,22.65,14.54,cluster4
796,NE,0.75,0.6,0.13,4.74,0.02,27,14.15,cluster1
797,TX,8.18,1.21,1.12,14.04,0.21,24.65,14.7,cluster13
798,MD,15.46,0.39,3.59,6.37,0.11,22.76,12.7,cluster12
799,TN,2.04,0.6,0.41,3.39,0.05,22.21,18.11,cluster7
800,OK,0.24,0.97,0.32,19.83,0,23.86,22.52,cluster13
801,OK,0.61,16.15,0.62,3.65,0.02,25.48,17.7,cluster11
802,CA,0.38,5.11,0.76,7.06,0.14,17.57,21.96,cluster3
803,TN,0.6,0.5,0.2,1.4,0,21.8,17.2,cluster7
804,TX,7.31,1.72,0.88,33.11,0.15,25.75,12.69,cluster2
805,LA,47.19,0.47,1.15,2.5,0.06,24.54,13.91,cluster5
806,OH,2.58,0.38,0.46,0.97,0.01,23.39,16.58,cluster7
807,NV,10.6,1.1,7.7,29.3,0.6,26.3,10.7,cluster2
808,CA,8.33,1.49,14.35,48.01,0.37,23.69,11.49,cluster2
809,MN,0.63,0.53,0.23,4.07,0.04,22.04,20.08,cluster3
810,MS,63.66,0.15,0.63,2,0.06,25.49,12.29,cluster0
811,VA,1.62,0.16,0.34,1.24,0,21.02,18.5,cluster7
812,IL,6.26,0.65,0.25,1.55,0.05,18.61,20.72,cluster3
813,VA,36.28,0.25,0.77,2.57,0.06,19.54,22.35,cluster5
814,TX,14.68,0.91,4.89,27.13,0.21,27.51,9.58,cluster10
815,OK,3.77,14.24,0.42,3.41,0.05,23.2,16.98,cluster11
816,NH,0.44,0.31,0.64,1.23,0.02,20.57,17.05,cluster7
817,FL,2.69,0.37,1.51,4.81,0.04,15.31,33.82,cluster14
818,MD,41.02,0.71,3.12,4.46,0.1,25.15,10.29,cluster5
819,AZ,1.5,2.6,1.2,14.1,0.1,21.8,22.4,cluster3
820,OR,0.59,2.47,2.03,12.39,0.34,23.75,15.14,cluster1
821,FL,6.5,0.2,2.1,4.9,0,22.2,15.7,cluster7
822,ID,0.26,2.93,0.46,2.75,0.05,20.55,21.73,cluster3
823,IL,0.7,0.2,0.3,0.9,0,22,19.4,cluster7
824,IA,0.79,0.11,0.84,1.2,0.02,22.24,17.52,cluster7
825,TN,1.82,0.35,0.31,1.81,0.08,22.26,18.42,cluster7
826,SC,25.3,0.4,0.4,3.9,0.1,22.6,14.5,cluster12
827,MO,3.37,0.72,0.34,1.82,0.08,21.83,18.74,cluster7
828,KY,2.03,0.35,0.15,1.49,0.01,22.01,18.06,cluster7
829,OR,0.41,3.83,1.22,8.1,0.16,17.41,23.22,cluster14
830,NC,15.6,0.5,0.8,11.7,0,27.9,9.4,cluster10
831,NE,0.7,0.25,0.35,3.03,0.05,21.14,21.69,cluster3
832,GA,40.03,0.37,0.36,2.26,0.09,25.78,14.82,cluster5
833,TN,8.5,0.2,0.4,1.3,0,21.2,19.7,cluster7
834,TN,6.52,0.34,1.11,3.97,0.1,24.61,13.79,cluster1
835,KY,0.64,0.1,0.23,1.6,0,24.06,15.6,cluster1
836,PA,1.3,0.2,0.3,0.8,0,21.5,17.9,cluster7
837,TX,6.05,0.49,0.59,4.95,0.02,25.67,13.84,cluster1
838,NE,0.23,5.81,0.36,2.05,0.03,21.8,21,cluster3
839,AR,32,0.5,0.1,3.5,0,23.5,16.7,cluster5
840,NC,3.4,0.3,0.8,9.2,0,20.9,22.4,cluster3
841,TN,1.33,0.28,0.34,6.76,0.01,22.34,16.64,cluster7
842,KY,0.74,0.13,0.13,1.06,0.05,24.57,13.41,cluster1
843,KY,0.4,0.3,0.1,3,0.2,23.4,17.1,cluster7
844,MT,0.28,0.47,0.47,1.78,0,24.38,22.2,cluster3
845,TX,4.04,1.33,0.89,53.97,0.16,29.06,9.95,cluster2
846,TX,1.39,1.4,0.71,50.38,0.01,29.58,10.29,cluster2
847,NY,3.88,0.39,0.56,2.47,0.05,20.97,16.18,cluster7
848,GA,55,0.1,0.3,2.3,0,26.3,14.6,cluster0
849,IN,1.39,0.27,2.14,3.23,0.05,26,12.55,cluster1
850,GA,40.75,0.33,1.02,4.7,0.05,27.74,10.98,cluster5
851,AR,25.78,0.64,0.25,4.86,0.06,23.94,17.15,cluster12
852,OH,18.2,0.3,1.4,5.8,0,23.7,13,cluster12
853,TX,21.99,1.01,0.51,3.34,0.03,18.98,22.12,cluster12
854,KS,3.15,0.71,2.23,9.97,0.07,24.94,14.98,cluster1
855,KS,0.1,0.3,0.2,2.2,0.1,22.3,20.1,cluster3
856,NV,0.5,5.07,0.45,22.29,0.03,26.93,11.95,cluster10
857,OH,20.84,0.25,1.81,2.36,0.04,22.59,15.88,cluster12
858,VT,0.36,0.97,0.37,1.4,0.06,19.09,15.85,cluster7
859,MO,9.4,0.4,0.4,4.9,0,25.7,16.7,cluster1
860,NE,0,0.3,0.9,2.1,0.3,20.9,21.5,cluster3
861,KY,3.08,0.32,0.18,2.91,0.05,23.11,16.47,cluster7
862,AL,71.8,0.2,0.1,1.2,0,28.6,13.9,cluster0
863,NC,0.6,7.7,0.6,1.4,0,21.5,20.7,cluster3
864,VA,3.2,0.3,2.1,1.8,0,23.9,16.8,cluster1
865,VA,0.85,0.33,2.31,1.83,0.04,22.22,17.28,cluster7
866,KS,0.2,0.4,0.2,9.4,0,22.2,25.1,cluster3
867,ID,0.2,9.9,0.2,2.9,0.1,24.2,17.8,cluster7
868,CA,1.4,1.7,3.3,54.1,0.4,28.9,9.3,cluster2
869,AL,1.65,1.17,0.64,12.49,0.26,25.2,15.42,cluster1
870,ND,0.78,1.17,1.33,2.4,0.06,21.65,15.6,cluster7
871,AZ,1.03,2.7,1.2,15.15,0.22,20.22,23.98,cluster3
872,KS,0.52,1.12,0.18,2.34,0,21.02,21.69,cluster3
873,FL,18.56,0.57,1.77,16.83,0.09,21.95,20.4,cluster12
874,AR,42.62,0.41,0.14,2.49,0.01,23.26,19.22,cluster5
875,TN,1.76,0.39,0.32,1.72,0.02,24.92,16.4,cluster1
876,NE,0,0.7,0.2,0.2,0,19.9,24.4,cluster3
877,MN,0.71,1.01,0.91,21.1,0.04,24.78,18.9,cluster13
878,AR,1.3,0.8,0.2,1.4,0,21.1,23.4,cluster3
879,UT,0.6,1.2,0.9,8.6,0.6,30.6,11.9,cluster10
880,IA,0.1,0.1,0.2,0.9,0,24.6,16.6,cluster1
881,NY,1,0.2,0.8,1.7,0,19.9,17.6,cluster7
882,AL,22.67,0.39,2.72,3.44,0.11,21.81,9.2,cluster12
883,OH,5.59,0.15,0.44,1.14,0.02,19.93,18.36,cluster7
884,MS,44.2,0.1,0.9,1.6,0,25.5,14.9,cluster5
885,LA,60.81,0.22,0.23,1.58,0,24.4,12.03,cluster0
886,KY,4.8,0.1,0.2,1,0,22.2,16.1,cluster7
887,NY,1.5,0.4,0.5,2.3,0,20.4,15.5,cluster7
888,NE,0.36,0.51,0.44,1.87,0.01,22.56,19.64,cluster7
889,MI,10.4,0.8,1.6,4.2,0,23.8,14.7,cluster1
890,VA,4.62,0.15,0.24,2.19,0,16.79,23,cluster14
891,PA,3.5,0.1,0.6,1.3,0,19.7,18.8,cluster7
892,TX,0.51,1.94,1.18,74.65,0,25.81,16.07,cluster6
893,NE,0,0.5,0.2,0.7,0,18.4,22.4,cluster3
894,NE,0,0.3,0.4,1.1,0,20.7,23.7,cluster3
895,CO,0.3,5.35,1.09,64.17,0.3,19.91,23.05,cluster6
896,IA,0.1,0.22,0.29,1.07,0,28.81,17.06,cluster1
897,NC,32.51,0.72,4.19,7.25,0.08,23.07,13.03,cluster5
898,NC,20.7,1.78,1.08,11.18,0.15,27.66,10.38,cluster12
899,AZ,1.85,2.19,1.48,60.14,0.24,27.63,15.85,cluster2
900,IL,1.46,0.16,0.55,1.46,0.03,22.23,17.89,cluster7
901,TX,2.01,1.68,0.39,54.46,0.01,28.94,11.68,cluster2
902,SC,45.23,0.64,0.77,14.76,0.08,24.04,13.21,cluster5
903,CO,1.4,0.7,5.2,11.5,0,26.3,7,cluster10
904,TN,4.77,0.52,0.25,1.93,0.01,21.88,14.5,cluster7
905,VA,22.4,0.4,5.8,14.7,0.1,18.3,10.7,cluster12
906,SC,45.6,2.6,0.4,3.3,0,27.9,12.6,cluster5
907,VA,22,0.2,0.6,7.5,0.1,20.5,17.5,cluster12
908,KY,10.9,0.29,0.87,2.16,0.03,21.99,17.4,cluster7
909,VA,8.3,0.3,13.1,10.7,0.1,29.8,6.4,cluster10
910,SD,0.1,1,0.1,1,0,23.8,25.3,cluster3
911,MN,2.79,0.3,0.78,6.48,0.03,25.92,15.1,cluster1
912,OH,3.49,0.3,0.76,1.46,0.03,24.05,14.28,cluster1
913,NM,2.4,3,0.6,38.3,0.1,23.8,12.5,cluster2
914,TN,12.34,0.4,0.65,4.99,0.05,24.03,14.02,cluster12
915,SD,0.1,0.8,0.1,0.7,0,22.3,23.7,cluster3
916,NV,10.02,1.19,9.13,29.66,0.8,24.83,11.71,cluster13
917,KY,5.45,0.18,0.32,1.23,0.02,22.38,17.87,cluster7
918,OH,0.86,0.36,0.23,0.75,0.03,23.38,15.62,cluster1
919,MI,5.1,2.8,0.4,1.5,0,16.7,21.8,cluster3
920,MO,2.5,0.5,0.2,1.3,0,24,18.2,cluster7
921,NC,36.44,2.2,0.39,14.64,0.22,22.94,12.41,cluster5
922,TN,0.39,0.39,0.17,1.47,0.06,23.64,14.28,cluster1
923,IN,3.27,0.29,5.56,3.12,0.06,16.05,10.36,cluster4
924,GA,17.74,0.3,0.58,3.97,0.05,23.25,14.67,cluster12
925,GA,31.07,0.31,0.46,2.04,0.02,21.77,15.1,cluster5
926,TN,7.5,0.47,0.57,5.88,0.09,25.47,12.62,cluster1
927,MO,0.33,1.24,0.26,2.09,0.06,25.62,18.18,cluster1
928,GA,28.02,0.8,0.27,3.41,0.06,26.32,13.5,cluster12
929,CA,1.3,1.1,3.6,12.1,0.2,23.4,12.2,cluster4
930,VT,0.7,0.3,1,1.3,0,19.4,17.5,cluster7
931,LA,13.4,2.78,0.8,4.02,0.06,24.23,12.75,cluster12
932,PA,0.73,0.21,0.39,1.64,0.01,20.8,17.27,cluster7
933,NE,0.1,9.3,0.3,1.6,0.1,23.8,22.3,cluster3
934,CO,0.16,5.18,1.12,64.67,0.3,18.89,24.07,cluster6
935,MT,0.07,21.52,0.38,1.7,0.1,24.56,17.51,cluster11
936,MO,1.22,0.15,0.25,1.01,0.12,22.41,18.23,cluster7
937,TX,5.7,0.74,2.58,16.2,0.09,28.53,10.63,cluster10
938,GA,17.1,0.37,0.96,2.94,0.08,22.47,14.88,cluster12
939,TX,17.6,0.83,1.36,17.9,0.06,25.55,14.39,cluster12
940,LA,24.98,0.52,1.12,2.7,0.05,25.12,12.86,cluster12
941,WI,0.97,0.92,0.56,2.04,0.02,21.65,19.12,cluster7
942,FL,8.87,0.4,1.28,11.46,0.05,18.35,28.55,cluster14
943,GA,13.6,0.3,1.6,8.4,0.2,25.2,14.3,cluster12
944,LA,26.34,0.37,0.92,5.17,0.04,26.04,10.71,cluster12
945,MN,3.29,0.6,2.11,7.97,0.07,23.12,12.68,cluster1
946,SD,0.6,0.7,0.1,1,0,23.2,21.2,cluster3
947,WI,0.27,0.76,0.33,1.09,0.02,16.29,23.67,cluster14
948,PA,0.38,0.21,0.22,0.66,0.01,20.99,18.77,cluster7
949,VA,6.67,0.27,1.53,4.54,0.04,24.81,13.3,cluster1
950,HI,0,0,7.78,1.11,48.89,0,30,cluster14
951,TX,0.66,0.98,0.36,17,0.04,18.82,21.05,cluster13
952,IA,0.16,0.05,0.32,1.41,0.01,22.19,21.19,cluster3
953,IL,2.1,0.2,0.4,1.1,0,21.6,18.1,cluster7
954,TX,6.01,0.87,5.16,23.57,0.13,27.82,9.83,cluster10
955,OR,0.35,1.25,0.5,3.68,0.06,19.57,23.31,cluster3
956,TX,0.6,1.11,0.25,8,0.06,23.35,16.66,cluster7
957,MO,11.27,0.25,0.37,1.86,0.04,24.66,15.75,cluster1
958,ME,0.45,0.47,0.6,0.81,0.02,20.99,16.89,cluster7
959,MI,0.3,2.8,0.3,1.3,0,20.5,18.7,cluster7
960,GA,24.01,0.81,0.95,12.02,0.42,29.7,7.53,cluster12
961,MN,1.8,0.4,2,6,0,23.9,14.5,cluster1
962,SD,0.21,1.06,0.3,1.02,0.04,19.84,25.99,cluster14
963,AR,46.87,0.48,0.44,4.67,0.13,25.92,15.83,cluster5
964,MS,71.4,0.2,0.8,2.6,0,27.3,11.6,cluster0
965,TX,5.7,0.7,0.2,36.1,0,22.9,17.5,cluster13
966,IL,1.63,0.16,0.56,1.47,0.03,22.21,17.65,cluster7
967,NE,0.1,0.4,0.1,1.8,0,22.8,20.7,cluster3
968,TX,5.28,0.88,0.21,31.15,0.08,24.97,21.35,cluster13
969,ID,0.37,1.78,0.7,3.79,0.06,24.54,17.9,cluster7
970,NC,11.8,0.3,2,3.6,0,23.2,15.7,cluster12
971,WY,0.5,0.5,0.2,5.7,0.1,25.6,8.8,cluster1
972,IN,0.5,0.5,0.6,1.3,0,23.5,15.7,cluster1
973,TX,1.12,1.23,0.78,19.33,0.06,25.35,15.67,cluster13
974,GA,23.8,0.5,4.2,12,0.1,26.3,9.2,cluster12
975,MI,0.6,0.8,0.6,1.4,0,23.3,16.6,cluster7
976,VA,3.1,0.13,0.69,0.72,0.01,19.79,17.89,cluster7
977,SD,3.69,2.77,1.52,4.3,0.14,24.89,11.35,cluster1
978,MN,0.64,0.5,0.25,3.87,0.03,21.87,20.6,cluster3
979,ND,0.66,0.72,0.42,2.11,0.04,22.8,21.96,cluster3
980,ND,0.09,2.48,0.04,0.7,0,19.41,25.02,cluster3
981,SD,0.5,1.9,0.7,2,0,19.9,14.4,cluster7
982,GA,10.1,0.3,0.8,6.4,0,27.9,10.5,cluster10
983,WY,0.3,21.1,0.49,5.77,0.04,25.16,15.25,cluster11
984,MS,23.02,0.14,0.1,1.32,0.01,24.81,16.67,cluster12
985,KS,0.34,0.53,0.19,2.67,0,23.76,19.88,cluster7
986,AR,8.07,0.68,0.74,4.95,0.06,20.97,21.33,cluster3
987,MI,1,1.1,0.6,1.9,0,21.6,15.3,cluster7
988,GA,37.79,0.13,0.2,4.87,0.05,17.33,10.39,cluster5
989,NY,2.7,0.9,0.6,2.3,0,22.1,16.3,cluster7
990,TX,0.89,0.68,0.28,88.1,0.09,26.1,16.24,cluster6
991,TN,51.79,0.36,2.39,5.84,0.1,26.07,10.43,cluster0
992,WV,0.6,0.25,0.37,0.76,0.01,20.42,18.31,cluster7
993,AL,20.6,0.6,1.3,4.4,0.2,24.9,13,cluster12
994,WI,0.7,0.5,2.4,2.9,0,22.1,16.2,cluster7
995,NE,0.5,4.38,0.37,10.84,0.04,24.74,15.36,cluster1
996,SD,0.33,6.6,0.13,0.93,0,23.08,16.62,cluster7
997,TN,10.8,0.3,0.3,1.8,0,22.8,18,cluster7
998,CO,0.26,2.81,0.85,40.22,0.02,22.7,16.2,cluster2
999,MN,2.5,0.8,5.6,4.1,0,29.1,7.3,cluster10
1000,UT,0.8,0.7,1.5,9.9,0.6,34.7,6.5,cluster10
1001,ID,0.3,1,1,15.1,0,28.1,14.3,cluster10
1002,AL,72.28,0.13,0.07,0.72,0.02,25.42,16.43,cluster0
1003,TX,2.25,0.48,0.13,12.7,0.08,20.69,25.53,cluster14
1004,IL,0.64,0.21,0.62,1.33,0.04,21.62,18.75,cluster7
1005,NH,0.48,0.41,0.56,1.28,0.01,17.89,20.76,cluster3
1006,VA,3.89,0.23,0.57,2.14,0.04,20.49,18.04,cluster7
1007,MS,21.8,0.4,1.3,4.6,0,28.6,10,cluster12
1008,TX,3.3,0.5,0.4,41.7,0,19.3,18.3,cluster2
1009,OR,0.15,0.97,0.36,5.27,0.67,18.69,22.17,cluster3
1010,VA,2.29,0.22,0.18,2.77,0.03,18.59,21.33,cluster3
1011,GA,16.96,0.35,0.99,5.18,0.05,28.81,8.55,cluster10
1012,OH,1,0.2,0.3,4.3,0.1,21,17.8,cluster7
1013,NC,0.64,0.29,0.41,4.8,0.04,18.98,20.91,cluster3
1014,IA,0.37,0.33,0.51,3.09,0.1,25.18,17.12,cluster1
1015,OH,0.36,0.41,0.17,0.88,0.01,24.53,15.76,cluster1
1016,KS,0.2,0.3,0.1,1.1,0.1,18.7,27,cluster14
1017,VT,0.59,0.28,0.93,1.32,0.03,19,19.28,cluster3
1018,TN,2.84,0.36,0.56,1.45,0.04,20.45,19.2,cluster7
1019,WA,0.38,5.6,0.59,2.88,0.18,22.52,19.04,cluster7
1020,KS,0.63,1.37,0.29,4.8,0.06,22.76,21.44,cluster3
1021,MN,3.34,0.6,2.14,7.9,0.08,22.62,13.11,cluster1
1022,MS,13.96,0.25,0.17,1.2,0.01,23.39,16.29,cluster12
1023,GA,28.7,0.2,0.1,3.5,0.1,30.7,11.6,cluster12
1024,CA,4.81,3.03,10.38,50.81,0.25,29.32,10.57,cluster2
1025,AR,7.1,0.5,0.6,3,0,27.2,11.2,cluster10
1026,ND,0.48,2.28,0.31,1.44,0.02,19.59,21.09,cluster3
1027,OK,1.91,7.09,0.44,12.26,0.01,24.23,17.93,cluster13
1028,MS,31.4,0.4,0.2,1.3,0,24.7,16.9,cluster5
1029,FL,8.67,0.51,1.77,15.07,0.1,20.14,24.51,cluster14
1030,NC,61.9,0.47,0.5,1.36,0.09,20.31,17.79,cluster0
1031,PA,1.8,0.2,0.4,3.1,0,20.9,17.3,cluster7
1032,AR,49.1,0.4,0.7,2.3,0,29.2,10.5,cluster0
1033,NE,0.2,1,0.9,5.9,0,24.2,15.3,cluster1
1034,SD,1.5,2.1,0.5,2.7,0,22.8,16.3,cluster7
1035,NC,7.5,0.4,0.6,2.4,0,23.8,12.2,cluster1
1036,IA,1.1,0.3,0.2,1.5,0,20.6,22.4,cluster3
1037,NE,0.4,0.7,0.2,4.1,0,23.5,18.7,cluster7
1038,TX,0.86,1.37,0.78,18.93,0.06,24.95,16.11,cluster13
1039,MN,0.8,0.3,0.7,7.8,0,21.7,19.7,cluster3
1040,KY,0.47,0.57,0.4,2.78,0.06,24.29,14.28,cluster1
1041,LA,38.73,0.9,0.2,2.86,0.06,24.6,14.7,cluster5
1042,UT,0,0.2,0.2,2.6,0,34,10.2,cluster10
1043,NY,7.8,0.4,3.4,14,0.1,24.2,13.4,cluster10
1044,MI,2.1,1.1,0.3,1.8,0,19.8,19.3,cluster3
1045,VA,17.97,0.58,1.23,3.57,0.07,27.03,10.43,cluster12
1046,PA,1.57,0.11,0.56,1.18,0.04,20.52,16.64,cluster7
1047,SD,0.21,0.56,0.33,1.8,0,22.15,21.47,cluster3
1048,MO,1.67,0.32,2.19,2.13,0.08,18.38,12.82,cluster4
1049,ID,0.28,5.04,0.8,25.88,0.17,28.84,14.22,cluster13
1050,IA,0.9,0.2,0.5,2.2,0,22.5,19.1,cluster7
1051,MO,0.2,0.7,0,0.4,0,23.6,20.3,cluster7
1052,MO,7.36,0.22,0.27,1.97,0.02,22.07,15.82,cluster7
1053,OH,0.76,0.35,0.18,0.7,0.03,23.28,16.4,cluster7
